Date,RIPLEY CC Equity,ECL CC Equity,IAM CC Equity,FALAB CC Equity,QUINENC CC Equity,ENELCHIL CC Equity,CHILE CC Equity,CMPC CC Equity,COLBUN CC Equity,COPEC CC Equity,ENTEL CC Equity,ANDINAB CC Equity,CONCHA CC Equity,CAP CC Equity,ITAUCORP CC Equity,BSAN CC Equity,SONDA CC Equity,SECUR CC Equity,BCI CC Equity,VAPORES CC Equity,AGUAS/A CC Equity,PARAUCO CC Equity,CENCOSUD CC Equity,SMU CC Equity,CCU CC Equity,SQM/B CC Equity,ENELAM CC Equity
20-04-2020,261.98,1024.8,626.1,2149.7,1190,64.35,69.8,1590,116,4970,4260,1844.4,1180,3866,2.204,31.94,535.8,143.24,25708.48,16.604,259.98,1314.8,936.1,136.5,6135,18373.51,135.9
21-04-2020,248.5,1000,622.5,2065,1183.6,62.85,68.3,1569,115,4852,4051,1775,1132.9,3700,2.122,31.1,520.97,142,24469.34,16.585,251.1,1280,925,136,5998,17723.3,133.97
22-04-2020,249.67,1000,620,2050,1179.5,62.29,69.63,1575,112.1,4920,4222,1753,1175,3700,2.039,31.3,529.07,143.36,24529.3,16.96,249,1302,927.01,134.9,5999,18511.44,134
23-04-2020,250,985,622.2,2083,1185,63,69.89,1658,113.61,5149,4420.1,1767,1200,3925,2.066,31.29,510.3,143.97,25656.69,17.944,259.99,1312,975,132,6000,18369.57,136.5
24-04-2020,241.88,960,628,2075,1170.7,61.1,67.7,1705,113,5024,4360.1,1715.1,1160,3810,2.039,30.99,498.52,139.76,24982.62,17.953,250,1300,954,131.82,5750,17930.19,134.2
27-04-2020,257.3,1026.8,662.86,2165.1,1177.6,63.61,70,1780,115,5120.8,4550,1780,1198,3951,2.086,32.77,510,143.42,26345.31,18.506,261,1393.2,993.7,133.9,5850.1,18580.4,136
28-04-2020,259.99,1028,680.1,2220,1190,65.21,71.8,1780,117.9,5100.1,4745,1840,1329,3995,2.131,33.5,514.99,147.63,27253.76,18.918,274.3,1446,1015,138,5950,19407.95,136.5
29-04-2020,268.8,1040,700,2337,1216.3,67.97,76.27,1813.9,120,5350.1,5040,1949.9,1290,4100,2.196,35.41,508,149.9,28502.9,18.694,280,1475,1043,140,6050,19309.43,137
30-04-2020,260,1030.2,669.99,2280,1220.4,67.99,73.6,1799.9,122.5,5218,5050,1994,1315,4075,2.19,35.85,504.98,148.7,28160.41,18.74,280,1401.1,1010,140,6000,19555.72,137
1-05-2020,260,1030.2,669.99,2280,1220.4,67.99,73.6,1799.9,122.5,5218,5050,1994,1315,4075,2.19,35.85,504.98,148.7,28160.41,18.74,280,1401.1,1010,140,6000,19555.72,137
4-05-2020,246.99,1020,660.42,2265,1249.9,63.3,72.1,1740,120,5000,4780,1957,1265,3994,2.103,34.52,470,146.96,26617.84,18.028,277.31,1385,990,135.25,5800,18245.44,136
5-05-2020,254.08,1023.4,679,2385,1250,62.2,73.8,1770,126,5120,5030,1974,1259,4000,2.166,35.56,490.34,145.5,26567.88,18.197,281.48,1439.8,1051.9,139.36,5750,18336.08,136
6-05-2020,253.99,1030,694.99,2465,1240,63,75,1800.9,128.9,5310,5300,2025,1271,3975,2.168,36.23,503,145.95,26259,18.272,281.54,1450,990,136,5832,18265.14,137
7-05-2020,250.5,1030,695,2537,1240,63.1,75.5,1860,116.52,5450,5325,2015,1336,4079,2.15,35.98,519.97,150,27074.8,19.303,275.01,1494.9,996.17,136.87,5750,18639.51,137
8-05-2020,239.9,1000,680,2405,1249.7,59.51,71,1715,115.1,5100,4912,1940,1280,4050,2.094,33.63,490.1,149.5,26072.77,19.537,265.22,1425,947.1,135.95,5551.1,18245.44,131.8
11-05-2020,233.1,998,640.7,2400,1242.9,60.8,70.5,1719.7,115.99,5100,5050,1920.6,1281,4021.5,2.02,32.94,475,152,25700.3,19.49,263,1424.5,971,134.98,5465,18806.99,131.9
12-05-2020,220.5,980,651,2379,1220,60.11,69.7,1685,111.3,5050,4855,1895,1250,4030,2.013,32.15,463.9,152.9,25436.85,19.687,255,1369.9,951,133.98,5471,18225.74,127.5
