Date,KIMBERA.MF.Equity,GAPB.MF.Equity,CEMEXCPO.MF.Equity,ASURB.MF.Equity,GFNORTEO.MF.Equity,KOFUBL.MF.Equity,ACa.MF.Equity,VOLARA.MF.Equity,LABB.MF.Equity,FEMSAUBD.MF.Equity,OMAB.MF.Equity,GFINBURO.MF.Equity,AMXL.MF.Equity,ALSEAa.MF.Equity,ORBIAa.MF.Equity,PE&OLESa.MF.Equity,GRUMAB.MF.Equity,RA.MF.Equity,WALMEXa.MF.Equity,BOLSAA.MF.Equity,LIVEPOLC.MF.Equity,CUERVOa.MF.Equity,ELEKTRAa.MF.Equity,SITES1.MF.Equity,MEGACPO.MF.Equity,Qa.MF.Equity,GCCa.MF.Equity,BIMBOA.MF.Equity,GMEXICOB.MF.Equity,GCARSOA1.MF.Equity,TLEVICPO.MF.Equity,VESTAa.MF.Equity,ALFAA.MF.Equity,PINFRAa.MF.Equity
26-11-2019,38.19,200.22,7.21,334.83,101.91,112.67,105.22,20.71,18.07,175.26,132.69,23.3,15.08,52,43.38,211.58,197.66,106.31,53.67,42.6,98.27,33.25,1386.01,13.84,73.52,82.36,104.18,33.43,52.09,64.88,42.22,32.79,12.18,188.24
27-11-2019,38.41,200.53,7.34,340.04,103.42,112.88,105,20.81,18.41,174.95,132.34,23.4,15.06,53.45,43.24,210.18,198.97,105.95,54.25,42.3,97.37,33.51,1383.37,13.9,72.23,81.76,104.36,33.36,51.65,65.52,42.85,33.04,12.64,186.96
28-11-2019,38.2,201.07,7.32,339.1,103.73,112.07,104.57,20.81,18.1,177.33,131.4,23.24,15.06,53.14,43.22,210.7,198.86,106.28,54.29,42.03,97.09,33.55,1377.25,13.97,71.2,82.19,104.19,33.58,51.83,65.76,43.07,33.88,12.65,186.91
29-11-2019,37.45,198.79,7.15,333.67,102.94,112.15,103.51,20.73,18.23,177.48,129.86,23.21,15,52.98,42.68,207.3,197,106.64,54.48,42.53,96.43,33.09,1367.83,14.1,69.24,83.13,102.58,33.8,51.08,65.36,42.55,32.97,12.39,186.94
2-12-2019,38.4,195.43,7.07,326.79,100.35,112.29,102.97,20.06,17.83,176.21,128.03,23.15,14.73,53.67,41.94,204.65,197.97,105.73,54.19,42.03,95.96,33.49,1381.58,14.03,73.46,83.26,102.45,33.85,52.21,66.12,41.89,32.43,12.54,185.64
3-12-2019,38.8,194.79,6.89,331.53,100.55,111.46,102.23,20.1,18.5,172.98,128.72,23.44,14.57,52.98,40.94,208.17,194.96,104.96,54.35,42.49,94.84,33.28,1392.53,13.86,72.98,82.96,102.54,33.72,50.78,67.54,41.4,32.21,12.74,183.61
4-12-2019,38.74,195.15,6.84,327.79,101.1,111.31,102.28,20.09,18.42,174,128.68,23.32,14.61,53.17,40.79,206.11,192.83,105.06,53.9,42.32,93.2,33.5,1394.68,13.94,73.14,81.83,101.79,33.72,49.53,67.13,41.6,32.34,12.43,183.49
5-12-2019,38.7,192.8,6.95,325.28,101.07,110.9,101.89,19.91,18.71,175.59,128.66,22.76,14.7,52.78,40.93,199.52,187.29,105.76,53.85,41.99,92.7,33.44,1381.99,13.88,74,82.03,100.45,33.28,50.64,66.89,40.77,32.05,12.25,184.2
6-12-2019,38.01,191.37,6.76,327.07,99.88,110.91,102.21,19.69,18.34,176.43,128.57,22.62,14.6,51.77,40.94,193.41,182.24,103.84,53.56,41.1,91.43,33.47,1381.29,13.78,73.5,80.64,99.09,33.04,49.88,65.57,41.03,32.01,12.32,184.46
9-12-2019,37.27,190.94,6.86,327.22,100.57,112.05,101.69,19.64,18.56,176.47,129.94,22.47,14.47,51.37,40.99,195.81,182.64,103.42,53.44,41.46,93.87,33.18,1376.63,13.65,74.23,79.93,99.81,32.93,49.45,66.13,41.34,32.25,12.28,185.75
10-12-2019,38.08,199.46,6.86,338.14,103.36,111.04,101.78,20.08,18.87,178.52,132.26,22.76,14.63,52.95,41.27,201.79,186.21,102.49,54.74,42.49,96.76,33.69,1399.79,13.59,73.46,79.92,100.89,33.26,50.36,69.25,41.88,32.29,12.18,185.62
11-12-2019,38.07,202.59,7.01,342.79,106.26,112.9,103.02,19.86,19.17,179.09,133.25,22.58,14.79,53.03,41.1,202.48,190.59,105.14,55.14,42.53,98.28,34.72,1390.94,13.45,72.67,80.97,101.76,34.31,51.34,69.32,43.75,32.1,12.52,188.05
12-12-2019,38.07,202.59,7.01,342.79,106.26,112.9,103.02,19.86,19.17,179.09,133.25,22.58,14.79,53.03,41.1,202.48,190.59,105.14,55.14,42.53,98.28,34.72,1390.94,13.45,72.67,80.97,101.76,34.31,51.34,69.32,43.75,32.1,12.52,188.05
13-12-2019,38.2,225.05,7.14,363.55,110.21,115.27,104.36,20.27,19.06,181.69,145.81,23,15.02,52.81,42.19,199.93,195.91,105.8,55.62,41.94,97.89,34.37,1387.08,13.8,75.28,82.44,102.57,33.75,54.08,71.53,45.24,32.2,12.69,196.93
16-12-2019,38.69,235.09,7.17,360.92,113.9,114.05,102.91,20.08,19.21,179.93,148.11,23.7,14.92,52.32,42.83,196.18,195.15,107.26,54.22,41.98,96.92,34.58,1400.07,14.16,76.58,80.06,101.84,33.82,54.77,70.29,44.59,32.13,12.89,204.61
17-12-2019,38.29,229.89,7.13,349.36,116.6,115,101.74,20.48,19.7,179.85,143.06,23.2,14.76,51.55,42.47,198.92,195.18,108.33,56.19,42.99,97.62,34.68,1398.6,14.21,77.61,80.48,102,33.78,54.77,71.02,43.94,32.17,12.78,199.61
18-12-2019,38.24,232.14,7.35,356.77,116.52,117.8,103.98,20.78,19.62,183.75,145.17,23.88,15.29,52.6,42.14,201.08,197.03,110.29,56.89,42.73,99.42,34.86,1394.87,14.15,78.12,82.67,102.52,34.19,57.07,70.57,43.77,33.84,12.87,199.63
19-12-2019,38.81,231.24,7.31,354.92,111.1,116.69,103.91,20.74,19.62,180.79,143.65,23.97,15.2,52.7,41.83,199.43,198.09,107.58,55.51,44.47,98.32,35.41,1401.27,14.09,78.38,82.02,102.49,34.51,56.45,71.95,44.29,34.09,12.96,198.31
20-12-2019,38.52,224.9,7.23,353.94,108.73,117.04,103.26,20.55,19.9,178.97,143.61,23.94,15.22,51.72,41.51,191.7,200.21,106.65,56.97,43.15,99.7,35.14,1401.3,14.08,77.42,79.19,101,34.85,55.94,72.59,43.85,33.94,13.29,198.09
23-12-2019,39.25,225.35,7.25,352.78,110.36,115.36,101.67,20.23,19.6,178.76,142.11,23.88,15.25,51.84,41.76,195.88,197.79,106.9,55.35,42.67,99.62,34.85,1390.02,14,77.64,79.12,100.7,34.13,54.3,72.14,44.53,33.52,12.85,196.47
24-12-2019,38.83,226.99,7.23,353.16,110.2,114.88,101.55,20.52,19.38,178.52,143.78,23.79,15.2,50.94,41.87,193.62,196.53,106.64,55.36,42.56,99.98,35.28,1391.03,14.01,78.08,78.32,101.19,33.81,53.4,71.44,44.38,33.69,12.81,197.46
25-12-2019,38.83,226.99,7.23,353.16,110.2,114.88,101.55,20.52,19.38,178.52,143.78,23.79,15.2,50.94,41.87,193.62,196.53,106.64,55.36,42.56,99.98,35.28,1391.03,14.01,78.08,78.32,101.19,33.81,53.4,71.44,44.38,33.69,12.81,197.46
26-12-2019,39.02,227.65,7.33,357.94,109.63,115.26,101.31,20.21,19.43,178.82,144.14,23.69,15.33,50.6,41.8,202.82,195.4,106.93,55.32,42.57,97.99,34.91,1393.59,14.04,77.81,78.06,101.52,33.74,54.21,71.03,44.54,33.18,12.9,198.11
27-12-2019,38.77,226.86,7.23,356.15,108.92,115.08,101.94,19.87,19.2,178.91,143.52,24,15.41,50.41,40.76,199.46,198.51,106.9,55.64,42.12,97.34,34.73,1384.93,14.02,77.22,78.52,100.54,34.88,53.78,70.43,44.81,34.55,12.77,197.05
30-12-2019,38.5,225.87,7.16,354.06,105,114.88,102.63,20.03,18.58,179.27,141.14,23.05,15.2,49.97,40.71,200.37,195.23,105.64,54.18,41.95,96.11,35.32,1390.35,13.81,77.22,79.4,101.53,34.88,51.89,69.8,44.23,33.99,12.91,193.51
31-12-2019,37.5,224.67,7.08,354.04,105.65,114.88,99.98,19.78,18.71,178.67,141.83,23.19,15.1,49.83,40.32,198.21,194.13,106.15,54.15,41.34,93.92,35.16,1388.35,14,77.44,79.4,100.86,34.43,51.86,69.82,44.37,34,12.65,193.54
1-01-2020,37.5,224.67,7.08,354.04,105.65,114.88,99.98,19.78,18.71,178.67,141.83,23.19,15.1,49.83,40.32,198.21,194.13,106.15,54.15,41.34,93.92,35.16,1388.35,14,77.44,79.4,100.86,34.43,51.86,69.82,44.37,34,12.65,193.54
2-01-2020,38.09,227.63,7.16,360.48,109.66,115.51,101.93,20.02,18.78,181.49,142.26,24.62,15.33,51.48,41.4,206.63,196.32,109.91,55.12,42.84,97.02,35.04,1387.48,14.23,77.47,79.78,100.99,35.36,53.97,73.89,45.13,34.15,13.04,196.82
3-01-2020,38.07,228.84,7.19,362.25,109.96,116.45,102.84,20.19,18.79,183.35,141.59,24.56,15.47,51.89,42.03,210.85,198.2,109.11,54.69,41.94,98.74,34.97,1383.76,14.05,77.42,79.6,100.41,35.37,54.1,74.32,45.23,34.82,13.2,200.34
6-01-2020,38.32,226.89,7.17,355.2,110.01,115.91,102.49,19.83,18.81,183.56,140.29,24.83,15.27,51.88,41.96,212.63,195.63,109.5,55.4,41.68,99.2,35.08,1391.85,14.08,77.71,80.79,99.94,35.54,52.88,74.97,44.48,34.26,13.35,198.25
7-01-2020,39.56,228.49,7.07,359.56,106.88,115.34,103.42,20.06,18.9,184.66,138.93,24.22,15.08,51.87,40.45,212.23,193.58,108.69,54.98,42.04,98,34.91,1400.53,13.87,75.31,81.18,99.71,35.05,52.94,73.35,43.59,34,13.02,199.06
8-01-2020,41.34,234.72,7.2,363.18,108.78,114.81,103.08,20.25,18.71,183.56,141,24.11,14.99,51.6,40.02,210,196.63,110.46,55.71,42.16,99.16,34.9,1397.67,13.84,74.62,79.63,100.05,35.02,54.36,73.91,44.07,34.16,13.27,204.42
9-01-2020,40.5,238.13,7.1,365.96,112.81,114.23,102.48,20.41,18.79,182.63,140.55,24.31,15.03,51.66,39.98,206.35,199.57,111.44,55.57,42.07,97.59,34.61,1389.52,13.68,74.33,81.49,99.81,35.96,54.3,73.96,43.69,33.72,13.23,202.19
10-01-2020,39.97,238.64,7.18,372.28,109.95,113.76,102.59,20.58,18.74,181.47,142.13,24.34,15.1,50.68,45.43,204.34,201.52,107.66,56.17,41.97,99.4,33.99,1388.12,13.77,74.8,81.4,99.66,35.69,55.43,74.88,43.74,34,12.93,202.87
13-01-2020,39.35,239.62,7.15,376.55,109.99,114.07,102.01,20.7,18.48,181.11,144.89,24.75,15.05,49.54,48.98,205.15,203.05,109.21,56.63,41.95,99.84,33.43,1386.84,13.8,75.55,79.79,99.84,35.79,56.92,75.64,43.87,33.94,12.99,202.28
14-01-2020,40.55,241.03,7.12,376.8,108.98,114.26,102.8,20.82,18.33,177.97,145.03,24.83,14.91,49.88,48.95,205.68,202.53,110.88,56.68,42.88,98.23,33.44,1397.77,13.66,75.3,78.98,99.74,35.58,56.84,75.99,45.2,34.01,12.77,203.25
15-01-2020,39.69,250.75,6.95,393.25,107.87,113.62,103.33,21,19.03,176.64,147.25,24.07,14.85,50.37,47.41,199.79,202.59,109.16,56.47,41.96,99.17,33.6,1394.7,13.8,74.7,79.6,98.44,34.98,54.97,72.24,44.86,34.27,12.27,199.3
16-01-2020,40.79,249.06,7.29,384.04,111.04,114.88,104.16,20.91,20.12,177.82,150.84,24.8,15.31,49.83,48.17,204.69,204.19,109.96,57.35,42.53,101.23,33.82,1399.75,14.04,74.97,79.7,100.52,35.3,56.72,76.69,46.44,35.09,12.59,202.34
17-01-2020,41.25,247.79,7.82,384.3,112.73,115.98,105.75,21.34,20.3,176.8,150.85,24.86,15.5,49.42,48.04,207.64,207.53,112.61,58.12,43,102.67,34.21,1399.8,13.97,75.94,79.75,100.19,35.69,58.7,75.82,46.52,35.83,12.78,205.11
20-01-2020,41.04,238.56,7.7,389.35,113.42,116.71,105.59,21.47,20.32,181.24,149.69,25.06,15.51,49.37,48.58,204.83,204.95,111.7,58.22,42.93,101.98,34.12,1399.56,14.25,76.6,79.65,101.7,36.04,58.02,74.99,46.85,36.44,12.79,205
21-01-2020,41.49,245.57,7.71,383.28,113.21,116.27,106.08,21.24,21.01,175.2,147.99,24.74,15.59,48.27,47.85,204.44,206.46,111.8,58.16,43.03,101.65,35.37,1396.89,14.23,77.4,79.45,100.78,35.82,57.22,74.6,45.25,36.04,12.63,206.73
22-01-2020,41.26,244.8,7.89,380.1,114.22,119.59,106.09,22.23,21.07,175.48,147.12,24.62,15.51,47.31,47.56,203,211.08,113.41,56.61,43.24,104.15,35.56,1399.06,14,77,79.71,100.95,34.81,56.94,74.62,46.31,35.94,12.56,207.56
23-01-2020,41.29,240.99,7.88,380.36,113.45,117.76,106.84,22.3,21.11,176.79,146.22,24.71,15.7,45.57,47.8,204.95,208.02,110.77,57.13,43.47,102.47,34.79,1394.07,14.11,76.82,79.97,100.56,34.53,53.88,74.09,46.46,35.02,12.42,208.91
24-01-2020,39.38,239.83,7.85,376.85,114.44,118.16,105.85,22.04,21.21,175.86,144.87,24.23,15.67,45.53,47.01,199.78,207.01,109.61,56.84,42.95,101.37,34.8,1401.6,13.73,74,79.73,99.14,33.52,52.71,71.76,45.34,34.1,12.26,207
27-01-2020,38.22,234.43,7.78,365.41,113.31,115.09,104.72,21.97,20.82,172.43,141.49,23.2,15.3,44.91,46.37,192.01,206.37,107.1,55,42.24,98.9,34.1,1397.75,13.38,70.58,79.11,97.38,32.67,51.36,69.55,44.27,33.88,11.65,202.03
28-01-2020,38.83,237.34,8.07,369.85,113.55,115.6,106.53,23.19,21.47,173.5,143.44,23.41,15.71,45.12,46.94,192.82,209.39,107.36,55.87,42.32,99.07,33.98,1395.99,13.44,72.09,79.42,98.39,33.8,51.82,69.91,44.95,34.36,11.53,206.46
